Device,video_name,frame_number,total_patches,sector1_correct,sector2_correct,sector3_correct,sector4_correct,blur,std,correct,prnu_std
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,0_,15,15,15,15,15,0.4473823302469136,51.69114467177665,,0.18237661
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,10_,15,15,15,15,15,0.9090432023413395,51.82865012423078,,0.2447796
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,11_,15,2,10,0,12,12.709680641548982,70.22596365283036,,0.62241966
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,12_,15,15,15,15,15,0.426195987654321,51.2170621719821,,0.17418237
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,13_,15,15,15,15,15,12.922639630947458,53.490832087445284,,0.4287526
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,14_,15,14,13,11,15,0.610072337962963,60.47636406846827,,0.19265442
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,1_,15,15,14,15,15,3.450944164436248,65.84808405358798,,0.37467313
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,2_,15,15,15,15,15,0.5058087359586114,52.01531793659405,,0.1920455
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,3_,15,15,15,15,15,3.450944164436248,65.84808405358798,,0.37467313
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,4_,15,15,15,15,15,0.5490890239083576,55.34142383353828,,0.19205013
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,5_,15,15,15,15,15,0.48523775074346437,51.249221374497765,,0.21092671
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,6_,15,15,15,15,15,0.3970920138888889,51.83376103575924,,0.17596568
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,7_,15,15,15,15,15,2.3449117476830916,59.09657039118017,,0.3512334
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,8_,15,4,15,1,13,15.732535189588862,70.75842832022097,,0.67095435
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,9_,15,8,10,0,14,3.450944164436248,65.84808405358798,,0.37467313
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,0_,3,0,0,2,3,106.54877878543606,41.66530340970992,,1.7058501
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,10_,2,1,1,0,1,70.76182661561778,44.318234941849056,,1.4326715
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,11_,3,0,0,0,2,99.56881242237155,38.74944537843561,,1.7999849
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,12_,3,3,1,0,2,47.79592666705044,41.558131823896915,,1.3144007
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,13_,3,1,0,1,1,33.458041305931296,48.626009096634974,,1.0776781
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,14_,3,0,1,0,1,42.62837489136148,46.84343451170028,,1.2085406
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,1_,3,2,0,0,0,99.76082187964484,41.78054686403084,,1.5894642
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,2_,3,0,1,1,2,87.31725560785031,31.981717325345773,,1.5382799
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,3_,2,0,1,0,1,99.76082187964484,41.78054686403084,,1.5894642
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,4_,3,0,1,0,1,99.76082187964484,41.78054686403084,,1.5894642
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,5_,3,0,0,0,0,79.21219718486766,50.50001967633693,,1.4838575
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,6_,3,1,2,1,2,64.49649402965912,47.75272121481452,,1.3411019
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,7_,3,1,3,1,1,32.95424996938222,37.93435513705958,,1.2114605
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,8_,3,0,0,2,1,66.60900085658659,42.622491242283985,,1.3447322
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,9_,3,1,1,1,3,65.95950028654848,40.212018443593706,,1.2370958
