Device,video_name,frame_number,total_patches,true_patches,quadrant_std,quadrant_prnu_std,std,correct,prnu_std
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,4_,3,0,43.18750553526565,1.5236493,41.78054686403084,0,1.5894642
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,5_,3,0,42.31006828070563,1.7086178,50.50001967633693,0,1.4838575
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,6_,3,1,49.740210657778135,1.3345338,47.75272121481452,0,1.3411019
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,7_,3,1,18.081679569581684,1.0149142,37.93435513705958,0,1.2114605
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,8_,3,2,33.96658470232174,1.1463038,42.622491242283985,1,1.3447322
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,9_,3,1,37.25404554248966,0.9555772,40.212018443593706,0,1.2370958
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,0_,3,1,49.505587677978056,1.7234559,54.80489670336861,0,1.6010935
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,10_,2,0,49.505587677978056,1.7234559,54.80489670336861,0,1.6010935
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,11_,3,0,39.50099024298139,1.0442271,40.6760922726128,0,0.931922
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,12_,2,0,50.75623314549665,0.5672115,53.72356530527457,0,0.8701056
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,13_,2,0,48.86075105591053,1.526722,43.2941115727397,0,1.1
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,14_,3,1,42.944613885469295,1.1282717,36.33069758313464,0,0.70702004
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,1_,3,1,34.073174731458444,0.8022276,56.6471146281533,0,0.84786385
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,2_,3,0,50.75623314549665,0.5672115,53.72356530527457,0,0.8701056
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,3_,2,0,34.073174731458444,0.8022276,56.6471146281533,0,0.84786385
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,4_,3,0,42.944613885469295,1.1282717,36.33069758313464,0,0.70702004
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,5_,3,0,34.073174731458444,0.8022276,56.6471146281533,0,0.84786385
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,6_,3,0,17.673598174430865,2.004902,24.546786681962196,0,2.5267816
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,7_,3,0,62.361998822246406,1.2855012,55.42625104303362,0,1.1993761
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,8_,2,1,28.969965216484344,0.8085669,34.25504528788249,1,0.8340422
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,9_,3,0,71.11288563475522,0.8047089,60.997494035526536,0,0.882936
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,0_,15,1,45.13374839384553,0.69814235,47.6911771525116,0,1.4957372
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,10_,15,3,33.99435595748183,0.5786709,42.21590949610804,0,0.66359043
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,11_,15,2,30.127782007621313,0.9936061,36.732775058650695,0,1.3214381
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,12_,15,3,44.530340612642995,0.43466222,32.36211294961164,0,0.7261508
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,13_,15,5,45.035878500831714,0.64341617,40.743532503358864,0,1.0268792
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,14_,15,5,34.906348245423686,0.58015555,38.50529990528775,0,0.67728645
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,1_,15,3,24.452435492304595,0.9098613,32.87301009120022,0,1.4036502
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,2_,15,5,24.452435492304595,0.9098613,32.87301009120022,0,1.4036502
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,3_,15,2,24.452435492304595,0.9098613,32.87301009120022,0,1.4036502
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,4_,15,3,45.74895156044983,0.9076503,43.63765700792792,0,1.2411433
